2026-01-20 21:21:08 | ERROR    | yfinance                  | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^PCALL"}}}
2026-01-20 21:21:09 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-20 21:21:10 | ERROR    | yfinance                  | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: PCALL"}}}
2026-01-20 21:21:11 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-20 21:21:11 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-20 21:21:43 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-20 21:21:44 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-20 21:21:44 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-20 21:22:53 | ERROR    | yfinance                  | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^PCALL"}}}
2026-01-20 21:22:54 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-20 21:22:55 | ERROR    | yfinance                  | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: PCALL"}}}
2026-01-20 21:22:55 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-20 21:22:56 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-20 21:23:29 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-20 21:23:29 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-20 21:23:29 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-20 21:48:46 | ERROR    | yfinance                  | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^PCALL"}}}
2026-01-20 21:48:46 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-20 21:48:47 | ERROR    | yfinance                  | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: PCALL"}}}
2026-01-20 21:48:47 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-20 21:48:48 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-20 21:49:22 | ERROR    | yfinance                  | $^PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-20 21:49:23 | ERROR    | yfinance                  | $PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
2026-01-20 21:49:23 | ERROR    | yfinance                  | $$PCALL: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
