2026-01-22 09:11:49 | DEBUG    | yfinance                  | Entering history()
2026-01-22 09:11:49 | DEBUG    | peewee                    | ('CREATE TABLE IF NOT EXISTS "_tz_kv" ("key" VARCHAR(255) NOT NULL PRIMARY KEY, "value" VARCHAR(255)) WITHOUT ROWID', [])
2026-01-22 09:11:49 | DEBUG    | peewee                    | ('SELECT "t1"."key", "t1"."value" FROM "_tz_kv" AS "t1" WHERE ("t1"."key" = ?) LIMIT ? OFFSET ?', ['MPC', 1, 0])
2026-01-22 09:11:49 | DEBUG    | yfinance                  |  Entering history()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | MPC: Yahoo GET parameters: {'range': '6mo', 'interval': '1d', 'includePrePost': False, 'events': 'div,splits,capitalGains'}
2026-01-22 09:11:49 | DEBUG    | yfinance                  |   Entering get()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |    Entering _make_request()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | url=https://query2.finance.yahoo.com/v8/finance/chart/MPC
2026-01-22 09:11:49 | DEBUG    | yfinance                  | params={'range': '6mo', 'interval': '1d', 'includePrePost': False, 'events': 'div,splits,capitalGains'}
2026-01-22 09:11:49 | DEBUG    | yfinance                  |     Entering _get_cookie_and_crumb()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | cookie_mode = 'basic'
2026-01-22 09:11:49 | DEBUG    | yfinance                  |      Entering _get_cookie_and_crumb_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |       Entering _get_cookie_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |        Entering _load_cookie_curlCffi()
2026-01-22 09:11:49 | DEBUG    | peewee                    | ('CREATE TABLE IF NOT EXISTS "_cookieschema" ("strategy" VARCHAR(255) NOT NULL PRIMARY KEY, "fetch_date" DATETIME NOT NULL, "cookie_bytes" BLOB NOT NULL) WITHOUT ROWID', [])
2026-01-22 09:11:49 | DEBUG    | peewee                    | ('SELECT "t1"."strategy", "t1"."fetch_date", "t1"."cookie_bytes" FROM "_cookieschema" AS "t1" WHERE ("t1"."strategy" = ?) LIMIT ? OFFSET ?', ['curlCffi', 1, 0])
2026-01-22 09:11:49 | DEBUG    | yfinance                  |        Exiting _load_cookie_curlCffi()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | reusing persistent cookie
2026-01-22 09:11:49 | DEBUG    | yfinance                  |       Exiting _get_cookie_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |       Entering _get_crumb_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |        Entering _get_cookie_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | reusing cookie
2026-01-22 09:11:49 | DEBUG    | yfinance                  |        Exiting _get_cookie_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | crumb = 'xbizMJ2QHRZ'
2026-01-22 09:11:49 | DEBUG    | yfinance                  |       Exiting _get_crumb_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |      Exiting _get_cookie_and_crumb_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |     Exiting _get_cookie_and_crumb()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | response code=200
2026-01-22 09:11:49 | DEBUG    | yfinance                  |    Exiting _make_request()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |   Exiting get()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | MPC: yfinance received OHLC data: 2025-07-22 13:30:00 -> 2026-01-21 14:30:00
2026-01-22 09:11:49 | DEBUG    | yfinance                  | MPC: OHLC after cleaning: 2025-07-22 09:30:00-04:00 -> 2026-01-21 09:30:00-05:00
2026-01-22 09:11:49 | DEBUG    | yfinance                  | MPC: OHLC after combining events: 2025-07-22 00:00:00-04:00 -> 2026-01-21 00:00:00-05:00
2026-01-22 09:11:49 | DEBUG    | yfinance                  | MPC: yfinance returning OHLC: 2025-07-22 00:00:00-04:00 -> 2026-01-21 00:00:00-05:00
2026-01-22 09:11:49 | DEBUG    | yfinance                  |  Exiting history()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | Exiting history()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | Entering history()
2026-01-22 09:11:49 | DEBUG    | peewee                    | ('SELECT "t1"."key", "t1"."value" FROM "_tz_kv" AS "t1" WHERE ("t1"."key" = ?) LIMIT ? OFFSET ?', ['MPC', 1, 0])
2026-01-22 09:11:49 | DEBUG    | yfinance                  |  Entering history()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | MPC: Yahoo GET parameters: {'range': '6mo', 'interval': '1d', 'includePrePost': False, 'events': 'div,splits,capitalGains'}
2026-01-22 09:11:49 | DEBUG    | yfinance                  |   Entering get()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |    Entering _make_request()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | url=https://query2.finance.yahoo.com/v8/finance/chart/MPC
2026-01-22 09:11:49 | DEBUG    | yfinance                  | params={'range': '6mo', 'interval': '1d', 'includePrePost': False, 'events': 'div,splits,capitalGains'}
2026-01-22 09:11:49 | DEBUG    | yfinance                  |     Entering _get_cookie_and_crumb()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | cookie_mode = 'basic'
2026-01-22 09:11:49 | DEBUG    | yfinance                  |      Entering _get_cookie_and_crumb_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |       Entering _get_cookie_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | reusing cookie
2026-01-22 09:11:49 | DEBUG    | yfinance                  |       Exiting _get_cookie_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |       Entering _get_crumb_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | reusing crumb
2026-01-22 09:11:49 | DEBUG    | yfinance                  |       Exiting _get_crumb_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |      Exiting _get_cookie_and_crumb_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |     Exiting _get_cookie_and_crumb()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | response code=200
2026-01-22 09:11:49 | DEBUG    | yfinance                  |    Exiting _make_request()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |   Exiting get()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | MPC: yfinance received OHLC data: 2025-07-22 13:30:00 -> 2026-01-21 14:30:00
2026-01-22 09:11:49 | DEBUG    | yfinance                  | MPC: OHLC after cleaning: 2025-07-22 09:30:00-04:00 -> 2026-01-21 09:30:00-05:00
2026-01-22 09:11:49 | DEBUG    | yfinance                  | MPC: OHLC after combining events: 2025-07-22 00:00:00-04:00 -> 2026-01-21 00:00:00-05:00
2026-01-22 09:11:49 | DEBUG    | yfinance                  | MPC: yfinance returning OHLC: 2025-07-22 00:00:00-04:00 -> 2026-01-21 00:00:00-05:00
2026-01-22 09:11:49 | DEBUG    | yfinance                  |  Exiting history()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | Exiting history()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | Entering history()
2026-01-22 09:11:49 | DEBUG    | peewee                    | ('SELECT "t1"."key", "t1"."value" FROM "_tz_kv" AS "t1" WHERE ("t1"."key" = ?) LIMIT ? OFFSET ?', ['V', 1, 0])
2026-01-22 09:11:49 | DEBUG    | yfinance                  |  Entering history()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | V: Yahoo GET parameters: {'range': '6mo', 'interval': '1d', 'includePrePost': False, 'events': 'div,splits,capitalGains'}
2026-01-22 09:11:49 | DEBUG    | yfinance                  |   Entering get()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |    Entering _make_request()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | url=https://query2.finance.yahoo.com/v8/finance/chart/V
2026-01-22 09:11:49 | DEBUG    | yfinance                  | params={'range': '6mo', 'interval': '1d', 'includePrePost': False, 'events': 'div,splits,capitalGains'}
2026-01-22 09:11:49 | DEBUG    | yfinance                  |     Entering _get_cookie_and_crumb()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | cookie_mode = 'basic'
2026-01-22 09:11:49 | DEBUG    | yfinance                  |      Entering _get_cookie_and_crumb_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |       Entering _get_cookie_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | reusing cookie
2026-01-22 09:11:49 | DEBUG    | yfinance                  |       Exiting _get_cookie_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |       Entering _get_crumb_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | reusing crumb
2026-01-22 09:11:49 | DEBUG    | yfinance                  |       Exiting _get_crumb_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |      Exiting _get_cookie_and_crumb_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |     Exiting _get_cookie_and_crumb()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | response code=200
2026-01-22 09:11:49 | DEBUG    | yfinance                  |    Exiting _make_request()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |   Exiting get()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | V: yfinance received OHLC data: 2025-07-22 13:30:00 -> 2026-01-21 14:30:00
2026-01-22 09:11:49 | DEBUG    | yfinance                  | V: OHLC after cleaning: 2025-07-22 09:30:00-04:00 -> 2026-01-21 09:30:00-05:00
2026-01-22 09:11:49 | DEBUG    | yfinance                  | V: OHLC after combining events: 2025-07-22 00:00:00-04:00 -> 2026-01-21 00:00:00-05:00
2026-01-22 09:11:49 | DEBUG    | yfinance                  | V: yfinance returning OHLC: 2025-07-22 00:00:00-04:00 -> 2026-01-21 00:00:00-05:00
2026-01-22 09:11:49 | DEBUG    | yfinance                  |  Exiting history()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | Exiting history()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | Entering history()
2026-01-22 09:11:49 | DEBUG    | peewee                    | ('SELECT "t1"."key", "t1"."value" FROM "_tz_kv" AS "t1" WHERE ("t1"."key" = ?) LIMIT ? OFFSET ?', ['V', 1, 0])
2026-01-22 09:11:49 | DEBUG    | yfinance                  |  Entering history()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | V: Yahoo GET parameters: {'range': '6mo', 'interval': '1d', 'includePrePost': False, 'events': 'div,splits,capitalGains'}
2026-01-22 09:11:49 | DEBUG    | yfinance                  |   Entering get()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |    Entering _make_request()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | url=https://query2.finance.yahoo.com/v8/finance/chart/V
2026-01-22 09:11:49 | DEBUG    | yfinance                  | params={'range': '6mo', 'interval': '1d', 'includePrePost': False, 'events': 'div,splits,capitalGains'}
2026-01-22 09:11:49 | DEBUG    | yfinance                  |     Entering _get_cookie_and_crumb()
2026-01-22 09:11:49 | DEBUG    | yfinance                  | cookie_mode = 'basic'
2026-01-22 09:11:49 | DEBUG    | yfinance                  |      Entering _get_cookie_and_crumb_basic()
2026-01-22 09:11:49 | DEBUG    | yfinance                  |       Entering _get_cookie_basic()
